?anat	?dystrophin	?avg_val
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"10.503334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"13.033334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"7.4100013"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.016666668"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"25.213331"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Amygdala>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"26.21"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"1.8666666"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"3.8000002"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"2.9633334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.8766666"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"6.15"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum_dentate_nucleus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"6.193333"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"0.22"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"0.70000005"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"1.3333334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.16333334"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"2.56"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Substantia_nigra>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"5.816667"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"7.4333324"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"0.45666662"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.8833333"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"9.77"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cingulate_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"17.42"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Corpus_callosum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	
<https://rdf.biosemantics.org/resources/bind/anatomy/Corpus_callosum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"0.39333335"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Corpus_callosum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"2.0633335"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Corpus_callosum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.63"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Corpus_callosum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"1.4033332"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Corpus_callosum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"0.7733333"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"21.761663"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"30.395834"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"16.55833"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"5.5983343"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.28166667"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Cerebellum>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"13.616667"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Hippocampus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"37.1375"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Hippocampus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"34.6725"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Hippocampus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"237.465"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Hippocampus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"5.0249996"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Hippocampus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.69500005"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Hippocampus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"91.4875"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Paracentral_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"7.3616657"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Paracentral_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"4.5683336"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Paracentral_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"31.5"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Paracentral_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"7.016666"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Paracentral_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.27000004"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Paracentral_gyrus>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"21.253338"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Vermis>	<https://rdf.biosemantics.org/resources/bind/isoform/dp140>	"8.289999"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Vermis>	<https://rdf.biosemantics.org/resources/bind/isoform/dp40>	"7.8483353"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Vermis>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427b>	"7.2191663"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Vermis>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427m>	"8.500832"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Vermis>	<https://rdf.biosemantics.org/resources/bind/isoform/dp427p2>	"0.23916666"^^<http://www.w3.org/2001/XMLSchema#float>
<https://rdf.biosemantics.org/resources/bind/anatomy/Vermis>	<https://rdf.biosemantics.org/resources/bind/isoform/dp71>	"5.2474995"^^<http://www.w3.org/2001/XMLSchema#float>
